STD CURVES INFO: the Pearson's R^2 for N2O HIGH was 0.9876.  File = 20141201_JankowskiA
STD CURVES INFO: the Pearson's R^2 for N2O LOW was 1.  File = 20141201_JankowskiA
STD CURVES INFO: the Pearson's R^2 for CO2 HIGH was 0.9999.  File = 20141201_JankowskiA
STD CURVES INFO: the Pearson's R^2 for CO2 LOW was 1.  File = 20141201_JankowskiA
STD CURVES INFO: the Pearson's R^2 for CH4 HIGH was 0.9653.  File = 20141201_JankowskiA
STD CURVES INFO: the Pearson's R^2 for CH4 LOW was 1.  File = 20141201_JankowskiA
AMBIENT VIAL INFO: the CV for N2O was 0.023.  File = 20141201_JankowskiA
AMBIENT VIAL INFO: the CV for CO2 was 0.0118.  File = 20141201_JankowskiA
AMBIENT VIAL INFO: the CV for CH4 was 0.0259.  File = 20141201_JankowskiA
TIME ZERO INFO: the CV for N2O was 0.0718.  File = 20141201_JankowskiA
TIME ZERO INFO: the CV for CO2 was 0.7345.  File = 20141201_JankowskiA
TIME ZERO INFO: the CV for CH4 was 0.0662.  File = 20141201_JankowskiA
