STD CURVES INFO: the Pearson's R^2 for N2O HIGH was 0.9987.  File = 20140418_M
STD CURVES INFO: the Pearson's R^2 for N2O LOW was 1.  File = 20140418_M
STD CURVES INFO: the Pearson's R^2 for CO2 HIGH was 1.  File = 20140418_M
STD CURVES INFO: the Pearson's R^2 for CO2 LOW was 1.  File = 20140418_M
STD CURVES INFO: the Pearson's R^2 for CH4 HIGH was 0.9514.  File = 20140418_M
STD CURVES INFO: the Pearson's R^2 for CH4 LOW was 1.  File = 20140418_M
AMBIENT VIAL INFO: the CV for N2O was 0.0449.  File = 20140418_M
AMBIENT VIAL INFO: the CV for CO2 was 0.1223.  File = 20140418_M
AMBIENT VIAL INFO: the CV for CH4 was 0.0327.  File = 20140418_M
TIME ZERO INFO: the CV for N2O was 0.0631.  File = 20140418_M
TIME ZERO INFO: the CV for CO2 was 0.1934.  File = 20140418_M
TIME ZERO INFO: the CV for CH4 was 0.0466.  File = 20140418_M
