STD CURVES INFO: the Pearson's R^2 for N2O HIGH was 0.9905.  File = 20140310_U
STD CURVES INFO: the Pearson's R^2 for N2O LOW was 1.  File = 20140310_U
STD CURVES INFO: the Pearson's R^2 for CO2 HIGH was 0.9985.  File = 20140310_U
STD CURVES INFO: the Pearson's R^2 for CO2 LOW was 1.  File = 20140310_U
STD CURVES INFO: the Pearson's R^2 for CH4 HIGH was 0.9336.  File = 20140310_U
STD CURVES INFO: the Pearson's R^2 for CH4 LOW was 1.  File = 20140310_U
AMBIENT VIAL INFO: the CV for N2O was 0.014.  File = 20140310_U
AMBIENT VIAL INFO: the CV for CO2 was 0.0111.  File = 20140310_U
AMBIENT VIAL INFO: the CV for CH4 was 0.0234.  File = 20140310_U
TIME ZERO INFO: the CV for N2O was 0.075.  File = 20140310_U
TIME ZERO INFO: the CV for CO2 was 0.1614.  File = 20140310_U
TIME ZERO INFO: the CV for CH4 was 0.0537.  File = 20140310_U
