"N2Oraw","CO2raw","CH4raw","SampleName","Site","LUtype","Chamber","TimePt","TimePtSq","SampleDate","Pressure","N2Oc","CO2c","CH4c","N2Oppm","CO2ppm","CH4ppm","ngN_cm3_N2O","ngC_cm3_CO2","ngC_cm3_CH4","GCrun"
27.974,74.8148,10.6192,"Mix1","NA","NA","NA","NA","NA","NA","Y",27.659975,75.8523125,7.865575,0.301,600,0.821757750619079,0.338806156028369,0.28944047501237,0.000396416589473805,"20131107_X"
92.7408,64.394,16.5788,"Mix2","NA","NA","NA","NA","NA","NA","Y",141.001875,57.6159125,18.294875,1.57,455.748102603991,1.77663226890997,1.76719490021442,0.219853245506143,0.000857048813059346,"20131107_X"
156.5192,36.017,6.6048,"3N2O","NA","NA","NA","NA","NA","NA","Y",252.614075,7.9561625,0.840374999999997,2.96947552372747,62.9341063266859,0.178552121679726,3.34244713493166,0.0303594627161249,8.61336848557441e-05,"20131107_X"
422.3628,34.8864,6.5156,"10N2O","NA","NA","NA","NA","NA","NA","Y",717.840375,5.9776125,0.684274999999997,8.55029875300763,47.2835617239751,0.164260087477507,9.62423207109858,0.0228096276094401,7.92391962417716e-05,"20131107_X"
0,221.3468,6.5622,"3KCO2","NA","NA","NA","NA","NA","NA","Y",-21.294525,332.2833125,0.765824999999997,-0.247104985887831,2988.2475020839,0.171726553775976,-0.278141828585051,1.44153296076282,8.28410254952595e-05,"20131107_X"
28.048,72.3246,14.033,"amb","NA","NA","NA","NA","NA","NA","Y",27.789475,71.4944625,13.839725,0.302449909521545,565.528934928648,1.36873248559147,0.340438176864195,0.272811605931646,0.000660277634657428,"20131107_X"
28.358,74.8794,14.1042,"amb","NA","NA","NA","NA","NA","NA","Y",28.331975,75.9653625,13.964325,0.308523854814504,652.513900430895,1.38014047701746,0.347275020906168,0.314773222154821,0.000665780858752886,"20131107_X"
28.7968,73.435,13.9276,"amb","NA","NA","NA","NA","NA","NA","Y",29.099875,73.4376625,13.655275,0.317121426409827,580.899857206067,1.35184481289064,0.356952463375903,0.280226551007237,0.000652131007976792,"20131107_X"
28.368,73.0868,15.098,"amb","NA","NA","NA","NA","NA","NA","Y",28.349475,72.8283125,15.703475,0.308719788533632,576.079832767129,1.53937168318523,0.347495564262361,0.277901367401941,0.000742594118669543,"20131107_X"
55.3528,153.3772,19.4236,"travel","NA","NA","NA","NA","NA","NA","Y",75.572875,213.3365125,23.273275,0.837443010925351,1904.32794994524,2.23243920723367,0.942627400081201,0.918649310685805,0.00107693044096326,"20131107_X"
