"Site","sampleID","extinc","date","LUtype","Chamber","DateField","DateLab1","DateLab2Inc","DateIncGuess","IncBlank","ExtractionSoilWeight","ExtractantVol","SoilWetWeight_DarroMinusBaggie","SoilDryWeight_TownMinusPapBag","CENAnitrppm","CENAammppm","CENAnitrppmBnks","CENAammppmBnks","CENAnitrppmBnkCor","CENAammppmBnkCor","MBLnitrppm","MBLammppm","NotesN","DiscardN","BulkDensity_gcm3_use","BulkDensity_gcm3_uncertainty_use","SampleSoilWater_g","SampleSoilWater_L","TotalExtractantVol_L","NO3_N_mgN","NH4_N_mgN","NO3_N_NH4_N_mgN","ExtractionSoilWeight_DryEquiv","NO3_N_mgNg","NH4_N_mgNg","NO3_N_NH4_N_mgNg","IncubationDays","BDCoreDepth","extlazytest","easycallname","NO3_N_mgNg_FinalMinusInitial_perDay","NH4_N_mgNg_FinalMinusInitial_perDay","NO3_N_NH4_N_mgNg_FinalMinusInitial_perDay","NO3_N_mgNg_FinalMinusInitial_perDay_AreaBasis","NH4_N_mgNg_FinalMinusInitial_perDay_AreaBasis","NO3_N_NH4_N_mgNg_FinalMinusInitial_perDay_AreaBasis","easycallname_TMDS_Soil"
"F1","extr F1A_11022014","ext","2/11/14","F","A","2/11/14",2014-02-11,NA,NA,NA,10.37,50,140.27,108.89,0.11255,0.6082528,0.0563,0.0567122,0.02105,0.545647267,NA,NA,"","",1.22125,0.129164838696743,2.31988736009125,0.00231988736009125,0.0523198873600913,0.00110133362892992,0.0285482035477816,0.0296495371767116,8.05011263990875,0.00013680971660819,0.00354631106728281,0.003683120783891,NA,10,"24","F1_A_2/11/14_24","0.0130957264770086","-0.000244917575959562","0.0128508089010491","1599.31559600468","-29.9105589640615","1569.40503704062","F1_A_2/11/14"
"F1","extr F1B_25032014","ext","3/25/14","F","B","3/25/14",2014-03-25,NA,NA,NA,9.92,50,128,95.99,0.1507,0.402,0.2459,0.022,0,0.38,NA,NA,"","",1.22125,0.129164838696743,2.480775,0.002480775,0.052480775,0,0.0199426945,0.0199426945,7.439225,0,0.002680748935541,0.002680748935541,NA,10,"24","F1_B_3/25/14_24","0.00856132570661621","-0.000599041166026348","0.00796228454058986","1045.5519019205","-73.1579024009677","972.393999519537","F1_B_3/25/14"
"F1","extr F148A_25032014","ext","3/25/14","F","A","3/25/14",2014-03-25,NA,NA,NA,10.47,50,119.54,94.79,0.1507,0.363,0.2221,0.027,0,0.341,NA,NA,"","",1.22125,0.129164838696743,2.16774719759076,0.00216774719759076,0.0521677471975908,0,0.0177892017943785,0.0177892017943785,8.30225280240924,0,0.00214269574990733,0.00214269574990733,NA,10,"48","F1_A_3/25/14_48","0.00556065829226619","5.74160290683044e-06","0.00556639989517302","679.095393943008","0.701193254996668","679.796587198005","F1_A_3/25/14"
"F1","extr F1C_25032014","ext","3/25/14","F","C","3/25/14",2014-03-25,NA,NA,NA,9.95,50,111.59,87.69,0.2459,0.169,NA,NA,0.0238,0.147,NA,NA,"","",1.22125,0.129164838696743,2.1310601308361,0.0021310601308361,0.0521310601308361,0.0012407192311139,0.00766326583923291,0.0089039850703468,7.8189398691639,0.000158681260103689,0.000980090135934548,0.00113877139603824,NA,10,"24","F1_C_3/25/14_24","0.00411095860852227","0.000184003510433919","0.00429496211895619","502.050820065782","22.4714287117423","524.522248777525","F1_C_3/25/14"
"F1","extr F1B_11022014","ext","2/11/14","F","B","2/11/14",2014-02-11,NA,NA,NA,10.52,50,163.01,128.39,0.0563,0.3999824,0.1967,0.0668236,0,0.337376867,NA,NA,"","",1.22125,0.129164838696743,2.23423348260843,0.00223423348260843,0.0522342334826084,0,0.0176226220425089,0.0176226220425089,8.28576651739157,0,0.00212685477022791,0.00212685477022791,NA,10,"24","F1_B_2/11/14_24","0.00901858518238145","-0.0012081310532833","0.00781045412909815","1101.39471539833","-147.543004882222","953.851710516112","F1_B_2/11/14"
"F1","extr F1C_11022014","ext","2/11/14","F","C","2/11/14",2014-02-11,NA,NA,NA,10.08,50,138,108.09,0.0563,0.2917288,0.0215,0.0642808,0,0.229123267,NA,NA,"","",1.22125,0.129164838696743,2.18473043478261,0.00218473043478261,0.0521847304347826,0,0.0119567359247317,0.0119567359247317,7.89526956521739,0,0.00151441769352716,0.00151441769352716,NA,10,"24","F1_C_2/11/14_24","0.00865444852677019","-0.0007351706763507","0.00791927785041949","1056.92452633181","-89.7827188493292","967.14180748248","F1_C_2/11/14"
"F1","extr F148B_25032014","ext","3/25/14","F","B","3/25/14",2014-03-25,NA,NA,NA,10.02,50,128,95.99,0.2459,0.631,NA,NA,0.0238,0.609,NA,NA,"","",1.22125,0.129164838696743,2.5057828125,0.0025057828125,0.0525057828125,0.0012496376309375,0.0319760217328125,0.03322565936375,7.5142171875,0.000166303102473041,0.00425540291622194,0.00442170601869498,NA,10,"48","F1_B_3/25/14_48","0.00648864690859297","-0.000794132588543938","0.00569451432004903","792.426003711916","-96.9834423759285","695.442561335988","F1_B_3/25/14"
"F1","incub F1C_11022014","inc","2/11/14","F","C","2/11/14",2014-02-11,2014-02-18,"Y","2/18/14",10.62,50,138,108.09,0.6893,0.2383224,-0.469,0.1079316,1.1583,0.130216267,NA,NA,"","",1.22125,0.129164838696743,2.30176956521739,0.00230176956521739,0.0523017695652174,0.0605811396873913,0.00681054119027682,0.0673916808776681,8.31823043478261,0.00728293597566999,0.000818748800441811,0.0081016847761118,7,10,"24","F1_C_2/11/14_24","0.00865444852677019","-0.0007351706763507","0.00791927785041949","1056.92452633181","-89.7827188493292","967.14180748248","F1_C_2/11/14"
"F1","incub F148D_25032014","inc","3/25/14","F","D","3/25/14",2014-03-25,2014-04-02,"Y","4/2/14",9.8,50,156.73,123.99,0.8085,0.385686,NA,NA,0.6926,0.335519333,NA,NA,"","",1.22125,0.129164838696743,2.04716391246092,0.00204716391246092,0.0520471639124609,0.0360478657257704,0.0174628297204506,0.053510695446221,7.75283608753908,0.00464963599368613,0.00225244407637072,0.00690208007005685,8,10,"48","F1_D_3/25/14_48","0.0045059832157213","0.000665459054653078","0.00517144227037438","550.293200219964","81.2691870495072","631.562387269471","F1_D_3/25/14"
"F1","incub F1B_11022014","inc","2/11/14","F","B","2/11/14",2014-02-11,2014-02-18,"Y","2/18/14",9.89,50,163.01,128.39,0.7427,0.2840299,-0.469,0.1103648,1.2117,0.175923767,NA,NA,"","",1.22125,0.129164838696743,2.10043432918226,0.00210043432918226,0.0521004343291823,0.0631300962766701,0.00916570466952586,0.072295800946196,7.78956567081774,0.0081044436807531,0.00117666440683125,0.00928110808758436,7,10,"24","F1_B_2/11/14_24","0.00901858518238145","-0.0012081310532833","0.00781045412909815","1101.39471539833","-147.543004882222","953.851710516112","F1_B_2/11/14"
